X;Roper;sec;X;Boper;sec;X;Woper;sec
1000;89113;0;1000;16033;0;1000;58333;0;
2000;214442;0;2000;36035;0;2000;129635;0;
3000;319743;1;3000;60039;1;3000;201267;1;
4000;516672;2;4000;80037;2;4000;285237;2;
5000;664887;3;5000;110037;3;5000;369057;4;
6000;787394;5;6000;132041;5;6000;441497;5;
7000;976002;7;7000;154041;7;7000;508821;7;
8000;1201508;9;8000;176039;9;8000;622439;9;
9000;1379136;11;9000;216039;11;9000;730659;12;
10000;1648809;13;10000;240039;14;10000;803079;14;
