X;Roper;sec;X;Boper;sec;X;Woper;sec
1000;1997520;4;1000;2002;4;1000;3002995;8;
2000;7948934;18;2000;4002;18;2000;12005995;33;
3000;17905058;56;3000;6002;56;3000;27008995;88;
4000;31862398;131;4000;8002;131;4000;48011995;187;
5000;49869470;255;5000;10002;255;5000;75014995;341;
6000;72127472;441;6000;12002;441;6000;108017995;567;
7000;97634668;704;7000;14002;704;7000;147020995;874;
8000;128094884;1056;8000;16002;1056;8000;192023995;1277;
9000;161737742;1521;9000;18002;1521;9000;243026995;1808;
10000;200476710;2098;10000;20002;2098;10000;300029995;2442;
